id,name_en,name_ko,alt_names_ko,note,source,confidence,needs_review
NGC869,Double Cluster (h Persei),이중성단(h),페르세우스 이중성단|이중성단의 NGC869,C14 · NGC 884와 쌍,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC884,Double Cluster (χ Persei),이중성단(χ),페르세우스 이중성단|이중성단의 NGC884,C14 · NGC 869와 쌍,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC7000,North America Nebula,북아메리카성운,북아메리카 성운,C20,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC457,Owl Cluster,ET성단,ET 성단|올빼미성단|잠자리성단|올빼미 성단,C13,위키백과 ko | https://www.kasi.re.kr/kor/publication/post/photoGallery/4568?cPage=10&clsf_cd=photo005,high,false
NGC7009,Saturn Nebula,토성성운,토성 성운,C55,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC6960,Western Veil Nebula,서쪽 베일성운,베일 성운(서)|마녀의 빗자루 성운|서쪽 베일 성운|서쪽 망상 성운,C34,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC6992,Eastern Veil Nebula,동쪽 베일성운,베일 성운(동)|동쪽 베일 성운|동쪽 망상 성운,C33,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC2237,Rosette Nebula,장미성운,장미 성운,C49,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/장미_성운 | https://en.wikipedia.org/wiki/Rosette_Nebula,medium,false
NGC7293,Helix Nebula,나선성운,헬릭스 성운|나선 성운,C63,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC2392,Eskimo Nebula,에스키모성운,에스키모 성운|광대 얼굴 성운,C39,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://www.nasa.gov/solar-system/nasa-to-reexamine-nicknames-for-cosmic-objects/,low,true
NGC6543,Cat's Eye Nebula,고양이눈성운,고양이 눈 성운,C6,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC7662,Blue Snowball Nebula,푸른 눈덩이 성운,블루 스노볼 성운,C22,위키백과 ko | https://ko.wikipedia.org/wiki/NGC_7662 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC6826,Blinking Planetary,깜빡이는 행성상성운,블링킹 성운,C15,위키백과 ko,medium,true
NGC2264,Christmas Tree Cluster,크리스마스트리성단,크리스마스 트리 성단|원뿔성운,,위키백과 ko,high,true
NGC891,,NGC 891,안드로메다자리 측면 은하,C23,,high,true
NGC4565,Needle Galaxy,바늘은하,바늘 은하,C38,위키백과 ko,high,true
NGC4631,Whale Galaxy,고래은하,고래 은하,C32,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC5128,Centaurus A,센타우루스 A,켄타우루스 A|센타우루스자리 A,C77,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC5139,Omega Centauri,오메가 센타우리,오메가 켄타우리|센타우루스자리 오메가,C80,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC104,47 Tucanae,47 투카나에,큰부리새자리 47,C106,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC3372,Carina Nebula,용골자리성운,용골자리 대성운|에타 카리나 성운|용골자리 성운,C92,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC2070,Tarantula Nebula,타란툴라성운,독거미성운,C103,위키백과 ko,high,true
NGC4755,Jewel Box,보석상자성단,보석 상자 성단|보석상자 성단,C94,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC253,Sculptor Galaxy,조각가자리은하,조각실자리 은하|은화은하|조각가자리 은하,C65,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC6888,Crescent Nebula,초승달성운,초승달 성운,C27,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC7635,Bubble Nebula,거품성운,거품 성운,C11,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC7023,Iris Nebula,아이리스성운,붓꽃성운|아이리스 성운,C4,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC6946,Fireworks Galaxy,불꽃놀이은하,불꽃놀이 은하,C12,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC2403,,NGC 2403,기린자리 은하,C7,,high,true
IC434,Horsehead Nebula (region),말머리성운,말머리 성운,B33이 어두운 성운 본체,위키백과 ko,high,true
IC5146,Cocoon Nebula,고치성운,코쿤 성운|누에고치 성운,C19,위키백과 ko | https://www.kasi.re.kr/kor/publication/post/photoGallery/4409 | https://www.kasi.re.kr/publication/post/photoGallery/4536?cPage=48 | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
IC405,Flaming Star Nebula,불타는 별 성운,플레이밍 스타 성운|불꽃별 성운,C31,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
IC2602,Southern Pleiades,남쪽 플레이아데스,남쪽 플레이아데스 성단,C102,위키백과 ko | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
IC1396,Elephant's Trunk Nebula (region),코끼리 코 성운,,,위키백과 ko,medium,true
C41,Hyades,히아데스성단,히아데스|히아데스 성단|필수,황소자리 · 28수 필수,위키백과 ko,high,true
C99,Coalsack Nebula,석탄자루성운,석탄 자루 성운,남십자자리 암흑성운,위키백과 ko,high,true
C9,Cave Nebula,동굴성운,동굴 성운,Sh2-155,위키백과 ko,medium,true
B33,Horsehead Nebula,말머리성운,말머리 성운,IC 434 앞의 암흑성운,위키백과 ko | https://www.kasi.re.kr/kor/publication/post/photoGallery/4491?cPage=16&clsf_cd=photo005,high,false
M77,Cetus A,고래자리 A 은하,,NGC1068.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium,false
M102,Spindle Galaxy,방추 은하,,NGC5866으로 취급하는 관행을 채택한 검토 행. M102=M101 재관측설과의 식별 논쟁이 있어 확정 병합 금지.,https://ko.wikipedia.org/wiki/메시에_천체_목록,low,true
NGC40,Bow-Tie Nebula,나비넥타이 성운,,C2.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC1275,Perseus A,페르세우스자리 A 은하,,C24.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC1499,California Nebula,캘리포니아 성운,,NGC1499의 통용명.,https://www.kasi.re.kr/kor/publication/post/notice/577,high,false
NGC3132,Southern Ring Nebula,팔렬 성운,,C74. Eight-Burst Nebula와 Southern Ring Nebula의 동일 대상.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC4038,Antennae Galaxies (NGC4038 component),더듬이 은하의 NGC4038,,C60. NGC4039와 이루는 은하쌍의 구성요소를 구분한 편집 표제.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
NGC4039,Antennae Galaxies (NGC4039 component),더듬이 은하의 NGC4039,,C61. NGC4038와 이루는 은하쌍의 구성요소를 구분한 편집 표제.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium,false
IC2118,Witch Head Nebula,마귀할멈 성운,,사진 공모전의 확인된 한국어 용례.,https://www.kasi.re.kr/kor/publication/post/notice/577,high,false
