caldwell,ngc_ic,name_en,name_ko,type,source,confidence,needs_review
27,NGC6888,Crescent Nebula,초승달성운,HII,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
28,NGC752,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
29,NGC5005,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
30,NGC7331,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
31,IC405,Flaming Star Nebula,불타는 별 성운,Neb,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
32,NGC4631,Whale Galaxy,고래은하,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
33,NGC6992,Eastern Veil Nebula,동쪽 베일성운,SNR,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
34,NGC6960,Western Veil Nebula,서쪽 베일성운,SNR,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
35,NGC4889,Coma B,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
36,NGC4559,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
37,NGC6885,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
38,NGC4565,Needle Galaxy,바늘은하,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
39,NGC2392,Eskimo Nebula,에스키모성운,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://www.nasa.gov/solar-system/nasa-to-reexamine-nicknames-for-cosmic-objects/,high,false
40,NGC3626,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
41,Mel25,Hyades,히아데스성단,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
42,NGC7006,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
43,NGC7814,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
44,NGC7479,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
45,NGC5248,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
46,NGC2261,Hubble's Variable Nebula,허블 변광성운,RfN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
47,NGC6934,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
48,NGC2775,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
49,NGC2237,Rosette Nebula,장미성운,HII,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://ko.wikipedia.org/wiki/장미_성운 | https://en.wikipedia.org/wiki/Rosette_Nebula,high,false
50,NGC2244,Rosette Cluster,장미성단,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
51,IC1613,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
52,NGC4697,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
53,NGC3115,Spindle Galaxy,방추은하,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
54,NGC2506,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
55,NGC7009,Saturn Nebula,토성성운,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
56,NGC246,Skull Nebula,해골성운,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
57,NGC6822,Barnard's Galaxy,바너드은하,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
58,NGC2360,Caroline's Cluster,캐롤라인성단,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
59,NGC3242,Ghost of Jupiter,목성의 유령 성운,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
60,NGC4038,Antennae Galaxies,더듬이은하,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
61,NGC4039,Antennae Galaxies,더듬이은하,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
62,NGC247,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
63,NGC7293,Helix Nebula,나선성운,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
64,NGC2362,Tau Canis Majoris Cluster,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
65,NGC253,Sculptor Galaxy,조각가자리은하,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
66,NGC5694,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
67,NGC1097,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
68,NGC6729,R Coronae Australis Nebula,,RfN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
69,NGC6302,Bug Nebula,벌레성운,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
70,NGC300,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
71,NGC2477,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
72,NGC55,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
73,NGC1851,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
74,NGC3132,Eight-Burst Nebula,남쪽고리성운,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
75,NGC6124,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
76,NGC6231,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
77,NGC5128,Centaurus A,센타우루스 A,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
78,NGC6541,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
79,NGC3201,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
80,NGC5139,Omega Centauri,오메가 센타우리,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
81,NGC6352,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
82,NGC6193,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
83,NGC4945,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
84,NGC5286,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
85,IC2391,Omicron Velorum Cluster,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
86,NGC6397,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
87,NGC1261,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
88,NGC5823,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
89,NGC6087,S Normae Cluster,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
90,NGC2867,,,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
91,NGC3532,Wishing Well Cluster,소원의 우물 성단,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
92,NGC3372,Carina Nebula,용골자리성운,HII,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
93,NGC6752,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
94,NGC4755,Jewel Box,보석상자성단,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
95,NGC6025,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
96,NGC2516,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
97,NGC3766,Pearl Cluster,진주성단,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
98,NGC4609,,,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
99,Coalsack,Coalsack Nebula,석탄자루성운,DrkN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
100,IC2944,Lambda Centauri Nebula,달리는 닭 성운,Cl+N,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
101,NGC6744,,,G,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
102,IC2602,Southern Pleiades,남쪽 플레이아데스,OCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
103,NGC2070,Tarantula Nebula,타란툴라성운,HII,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
104,NGC362,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
105,NGC4833,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
106,NGC104,47 Tucanae,47 투카나에,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,high,false
107,NGC6101,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
108,NGC4372,,,GCl,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
109,NGC3195,,,PN,Caldwell catalogue | 위키백과 en | https://en.wikipedia.org/wiki/Caldwell_catalogue,high,false
