id,name_ko,origin,confidence,draft_written,publication_approved,review_note_count
const:Leo,사자자리,inherited-80,medium,true,false,2
const:Vir,처녀자리,inherited-80,medium,true,false,2
const:Lib,천칭자리,inherited-80,medium,true,false,3
const:Sco,전갈자리,inherited-80,medium,true,false,3
const:Sgr,궁수자리,inherited-80,medium,true,false,3
const:Cap,염소자리,inherited-80,medium,true,false,3
const:Aqr,물병자리,inherited-80,medium,true,false,2
const:Psc,물고기자리,inherited-80,medium,true,false,3
const:Ori,오리온자리,inherited-80,medium,true,false,2
const:UMa,큰곰자리,inherited-80,medium,true,false,3
const:UMi,작은곰자리,inherited-80,medium,true,false,3
const:Cas,카시오페이아자리,inherited-80,medium,true,false,3
const:Cyg,백조자리,inherited-80,medium,true,false,2
const:Lyr,거문고자리,inherited-80,medium,true,false,2
const:Aql,독수리자리,inherited-80,medium,true,false,2
const:Peg,페가수스자리,inherited-80,medium,true,false,3
const:And,안드로메다자리,inherited-80,medium,true,false,3
const:Per,페르세우스자리,inherited-80,medium,true,false,3
const:Aur,마차부자리,inherited-80,medium,true,false,3
const:CMa,큰개자리,expansion-40-2,medium,true,false,3
const:CMi,작은개자리,expansion-40-2,medium,true,false,3
const:Her,허큘리스자리,expansion-40-2,medium,true,false,4
const:Boo,목동자리,expansion-40-2,medium,true,false,3
const:Dra,용자리,expansion-40-2,medium,true,false,4
const:Cet,고래자리,expansion-40-2,medium,true,false,4
const:Cru,남십자자리,expansion-40-2,low,true,false,5
dso:M32,M32,expansion-40-2,medium,true,false,5
dso:M110,M110,expansion-40-2,medium,true,false,5
dso:M33,삼각형자리은하,expansion-40-2,medium,true,false,4
dso:M43,드 메랑 성운,expansion-40-2,medium,true,false,4
dso:M92,M92,expansion-40-2,low,true,false,5
dso:M101,바람개비은하,expansion-40-2,medium,true,false,4
dso:M104,솜브레로은하,expansion-40-2,medium,true,false,5
dso:M8,라군성운,expansion-40-2,medium,true,false,4
dso:M20,삼렬성운,expansion-40-2,low,true,false,5
dso:M17,오메가성운,expansion-40-2,low,true,false,5
dso:M16,독수리성운,expansion-40-2,low,true,false,6
dso:M22,M22,expansion-40-2,low,true,false,5
dso:M11,야생오리성단,expansion-40-2,medium,true,false,4
dso:M6,나비성단,expansion-40-2,medium,true,false,5
dso:M7,프톨레마이오스성단,expansion-40-2,medium,true,false,5
dso:M36,M36,expansion-40-2,medium,true,false,5
dso:M38,M38,expansion-40-2,medium,true,false,4
dso:M41,M41,expansion-40-2,medium,true,false,5
dso:M46,M46,expansion-40-2,medium,true,false,7
dso:M47,M47,expansion-40-2,medium,true,false,5
dso:M67,M67,expansion-40-2,medium,true,false,4
dso:M2,M2,expansion-40-2,low,true,false,5
dso:M39,M39,expansion-40-2,medium,true,false,5
dso:M103,M103,expansion-40-2,medium,true,false,5
dso:M4,M4,expansion-40-2,medium,true,false,5
dso:M10,M10,expansion-40-2,low,true,false,6
dso:M12,M12,expansion-40-2,low,true,false,6
dso:M29,M29,expansion-40-2,medium,true,false,5
dso:M34,M34,expansion-40-2,medium,true,false,6
dso:M52,M52,expansion-40-2,medium,true,false,5
dso:M78,M78,expansion-40-2,medium,true,false,6
dso:NGC7000,북아메리카성운,expansion-40-2,low,true,false,5
dso:NGC457,ET성단,expansion-40-2,medium,true,false,5
dso:NGC7009,토성성운,final-1,low,true,false,6
