caldwell,ngc_ic,name_en,name_ko,type,source,confidence
30,NGC7331,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
31,IC405,Flaming Star Nebula,불꽃별 성운,nebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
32,NGC4631,Whale Galaxy,고래 은하,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
33,NGC6992,Eastern Veil Nebula,동쪽 베일 성운,supernovaRemnant,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
34,NGC6960,Western Veil Nebula,서쪽 베일 성운,supernovaRemnant,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
35,NGC4889,Coma B,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
36,NGC4559,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
37,NGC6885,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
38,NGC4565,Needle Galaxy,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
39,NGC2392,Clown Face Nebula,에스키모 성운,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://www.nasa.gov/solar-system/nasa-to-reexamine-nicknames-for-cosmic-objects/,low
40,NGC3626,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
41,Mel25,Hyades,히아데스 성단,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
42,NGC7006,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
43,NGC7814,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
44,NGC7479,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
45,NGC5248,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
46,NGC2261,Hubble's Variable Nebula,,nebula,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
47,NGC6934,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
48,NGC2775,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
49,NGC2237,Rosette Nebula,장미 성운,nebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록 | https://ko.wikipedia.org/wiki/장미_성운 | https://en.wikipedia.org/wiki/Rosette_Nebula,medium
50,NGC2244,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
51,IC1613,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
52,NGC4697,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
53,NGC3115,Spindle Galaxy,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
54,NGC2506,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
55,NGC7009,Saturn Nebula,토성 성운,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
56,NGC246,Skull Nebula,,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
57,NGC6822,Barnard's Galaxy,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
58,NGC2360,Caroline's Cluster,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
59,NGC3242,Ghost of Jupiter,,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
60,NGC4038,Antennae Galaxies (NGC4038 component),더듬이 은하의 NGC4038,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
61,NGC4039,Antennae Galaxies (NGC4039 component),더듬이 은하의 NGC4039,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
62,NGC247,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
63,NGC7293,Helix Nebula,나선 성운,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
64,NGC2362,Tau Canis Majoris Cluster,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
65,NGC253,Sculptor Galaxy,조각가자리 은하,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
66,NGC5694,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
67,NGC1097,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
68,NGC6729,R Coronae Australis Nebula,,nebula,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
69,NGC6302,Butterfly Nebula; Bug Nebula,,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
70,NGC300,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
71,NGC2477,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
72,NGC55,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
73,NGC1851,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
74,NGC3132,Southern Ring Nebula; Eight-Burst Nebula,팔렬 성운,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
75,NGC6124,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
76,NGC6231,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
77,NGC5128,Centaurus A,센타우루스자리 A,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
78,NGC6541,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
79,NGC3201,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
80,NGC5139,Omega Centauri,센타우루스자리 오메가,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
81,NGC6352,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
82,NGC6193,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
83,NGC4945,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
84,NGC5286,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
85,IC2391,Omicron Velorum Cluster,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
86,NGC6397,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
87,NGC1261,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
88,NGC5823,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
89,NGC6087,S Normae Cluster,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
90,NGC2867,,,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
91,NGC3532,Wishing Well Cluster,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
92,NGC3372,Carina Nebula,용골자리 성운,nebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
93,NGC6752,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
94,NGC4755,Jewel Box,보석상자 성단,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
95,NGC6025,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
96,NGC2516,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
97,NGC3766,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
98,NGC4609,,,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
99,Coalsack,Coalsack Nebula,석탄자루 성운,darkNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
100,IC2944,Lambda Centauri Nebula,,clusterAndNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
101,NGC6744,,,galaxy,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
102,IC2602,Southern Pleiades,남쪽 플레이아데스 성단,openCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
103,NGC2070,Tarantula Nebula,,clusterAndNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
104,NGC362,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
105,NGC4833,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
106,NGC104,47 Tucanae,큰부리새자리 47,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/콜드웰_목록,medium
107,NGC6101,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
108,NGC4372,,,globularCluster,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
109,NGC3195,,,planetaryNebula,https://en.wikipedia.org/wiki/Caldwell_catalogue,low
