id,name_en,name_ko,alt_names_ko,note,source,confidence
M83,Southern Pinwheel Galaxy,남쪽 바람개비 은하,,NGC5236. M101과 별개.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M87,Virgo A,처녀자리 A 은하,,NGC4486.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M97,Owl Nebula,올빼미 성운,,NGC3587. 올빼미 성단 NGC457과 별개.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M101,Pinwheel Galaxy,바람개비 은하,,NGC5457.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
M102,Spindle Galaxy,방추 은하,,NGC5866으로 취급하는 관행을 채택한 검토 행. M102=M101 재관측설과의 식별 논쟁이 있어 확정 병합 금지.,https://ko.wikipedia.org/wiki/메시에_천체_목록,low
M104,Sombrero Galaxy,솜브레로 은하,,NGC4594.,https://ko.wikipedia.org/wiki/메시에_천체_목록,medium
NGC40,Bow-Tie Nebula,나비넥타이 성운,,C2.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC104,47 Tucanae,큰부리새자리 47,,C106. 항성 1개의 레코드로 처리하지 않음.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC253,Sculptor Galaxy,조각가자리 은하,,C65.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC457,E.T. Cluster,ET 성단,올빼미 성단,C13. 올빼미 성운 M97과 별개.,https://www.kasi.re.kr/kor/publication/post/photoGallery/4568?cPage=10&clsf_cd=photo005,high
NGC869,Double Cluster (h Persei component),이중성단의 NGC869,,NGC884와 함께 이중성단 C14를 이룸. name_ko는 구성요소를 구별한 편집 표제이지 개별 고유명이 아님.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC884,Double Cluster (chi Persei component),이중성단의 NGC884,,NGC869와 함께 이중성단 C14를 이룸. name_ko는 구성요소를 구별한 편집 표제이지 개별 고유명이 아님.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC1275,Perseus A,페르세우스자리 A 은하,,C24.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC1499,California Nebula,캘리포니아 성운,,NGC1499의 통용명.,https://www.kasi.re.kr/kor/publication/post/notice/577,high
NGC2237,Rosette Nebula,장미 성운,,C49의 대표번호. 성운 전체는 NGC2237/2238/2239/2246 등과 관련되며 중심 산개성단 NGC2244=C50와 별개.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://ko.wikipedia.org/wiki/장미_성운 | https://en.wikipedia.org/wiki/Rosette_Nebula,medium
NGC2392,Clown Face Nebula,에스키모 성운,,한국어 역사적 검색명. NASA가 더 이상 사용하지 않는 별명으로 기본 화면에서는 NGC2392 표기 권장.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue | https://www.nasa.gov/solar-system/nasa-to-reexamine-nicknames-for-cosmic-objects/,low
NGC3132,Southern Ring Nebula,팔렬 성운,,C74. Eight-Burst Nebula와 Southern Ring Nebula의 동일 대상.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC3372,Carina Nebula,용골자리 성운,,C92.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC4038,Antennae Galaxies (NGC4038 component),더듬이 은하의 NGC4038,,C60. NGC4039와 이루는 은하쌍의 구성요소를 구분한 편집 표제.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC4039,Antennae Galaxies (NGC4039 component),더듬이 은하의 NGC4039,,C61. NGC4038와 이루는 은하쌍의 구성요소를 구분한 편집 표제.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC4631,Whale Galaxy,고래 은하,,C32. 고래자리 A(M77)와 다름.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC4755,Jewel Box,보석상자 성단,,C94.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC5128,Centaurus A,센타우루스자리 A,,C77.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC5139,Omega Centauri,센타우루스자리 오메가,,C80. 별처럼 보이는 전통적 표기이나 실제 분류는 구상성단.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC6543,Cat's Eye Nebula,고양이 눈 성운,,C6.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC6888,Crescent Nebula,초승달 성운,,C27.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC6946,Fireworks Galaxy,불꽃놀이 은하,,C12.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC6960,Western Veil Nebula,서쪽 베일 성운,서쪽 망상 성운,C34. 전체 베일 성운과 한 레코드로 합치지 않음. 동쪽/서쪽은 영어 구분을 옮긴 방향 한정어이며 독립적인 한국어 표준 고유명 판정은 아님.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC6992,Eastern Veil Nebula,동쪽 베일 성운,동쪽 망상 성운,C33의 대표 NGC 번호. 전체 동쪽 호 및 NGC6995와의 범위를 구별. 동쪽/서쪽은 영어 구분을 옮긴 방향 한정어이며 독립적인 한국어 표준 고유명 판정은 아님.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC7000,North America Nebula,북아메리카 성운,,C20.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC7009,Saturn Nebula,토성 성운,,C55.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC7023,Iris Nebula,아이리스 성운,,C4. 성단과 반사성운 복합체 문맥을 구분.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC7293,Helix Nebula,나선 성운,,C63.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC7635,Bubble Nebula,거품 성운,,C11.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
NGC7662,Blue Snowball Nebula,푸른 눈덩이 성운,,C22. 한국어 위키백과의 확인된 표제; 번역 정비 중인 문서이므로 물리량은 옮기지 않음.,https://ko.wikipedia.org/wiki/NGC_7662 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
IC405,Flaming Star Nebula,불꽃별 성운,,C31은 IC405. IC410과 동일 천체로 합치지 않음.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
IC2118,Witch Head Nebula,마귀할멈 성운,,사진 공모전의 확인된 한국어 용례.,https://www.kasi.re.kr/kor/publication/post/notice/577,high
IC2602,Southern Pleiades,남쪽 플레이아데스 성단,,C102. 황소자리 M45와 별개의 성단.,https://ko.wikipedia.org/wiki/콜드웰_목록 | https://en.wikipedia.org/wiki/Caldwell_catalogue,medium
IC5146,Cocoon Nebula,코쿤 성운,누에고치 성운,C19. 성운과 그 안의 성단을 포괄하는 사용 범위를 구별.,https://www.kasi.re.kr/kor/publication/post/photoGallery/4409 | https://www.kasi.re.kr/publication/post/photoGallery/4536?cPage=48 | https://en.wikipedia.org/wiki/Caldwell_catalogue,high
B33,Horsehead Nebula,말머리 성운,,암흑성운 B33. 배경 발광성운 IC434와 별개. B 식별자 지원 필요.,https://www.kasi.re.kr/kor/publication/post/photoGallery/4491?cPage=16&clsf_cd=photo005,high
